text,label
환자가 심각한 호흡곤란으로 숨을 쉬기 어려워하며 피부가 푸르스름하게 변색된 상태,1
환자가 얼굴이 창백하고 식은땀을 흘리며 맥박이 거의 잡히지 않는 쇼크 상태,1
"환자가 바닥에 쓰러져 의식을 잃었고, 주변의 소리에 반응하지 않으며 몸이 움직이지 않는 상태",1
환자가 심한 호흡곤란으로 숨을 쉬지 못해 곤란해하는 상태,1
환자가 심각한 쇼크로 인해 혈압이 떨어지고 의식을 잃을 위험에 있는 상태,1
"환자가 의식을 잃고 반응이 없으며 몸이 축 늘어져 있는 상태",1
환자가 심각한 호흡곤란으로 인해 가슴을 크게 오르내리며 숨을 쉬기 힘든 상태,1
환자가 쇼크 상태로 혈압이 급격히 떨어지며 의식을 잃을 위험에 있는 상태,1
"환자가 의식을 잃고 반응이 없으며 주변 자극에 전혀 반응하지 않는 상태",1
환자가 경련을 일으키며 몸이 떨리고 혼란스러운 상태,1
환자가 자신이나 타인에게 해를 끼칠 구체적인 계획이나 충동을 억제하지 못하는 상태,1
건강한 상태에서 조절되지 않는 위험한 행동을 보이는 환자,1
싸움이나 안전하지 않은 상황에 놓여 있는 환자,1
중증 호흡곤란을 겪고 있는 환자,1
쇼크 상태에 있는 환자,1
무의식 상태(GCS 3-8)에 있는 환자,1
"중증 호흡곤란을 겪고 있는 환자이며, 생명이 위급한 상황입니다.",1
쇼크 상태로 생명이 위급한 환자입니다.,1
"무의식(GCS 3-8) 상태인 환자로 심각한 의식 저하가 있습니다.",1
"중증 호흡곤란을 겪고 있는 환자로 생명이 위급한 상황입니다.",1
환자가 의식을 잃고 반응이 없으며 주변 자극에 전혀 반응하지 않는 상태, 1
환자가 경련을 일으키며 몸이 떨리고 혼란스러운 상태, 1
환자가 자신이나 타인에게 해를 끼칠 구체적인 계획이나 충동을 억제하지 못하는 상태, 1
건강한 상태에서 조절되지 않는 위험한 행동을 보이는 환자, 1
싸움이나 안전하지 않은 상황에 놓여 있는 환자, 1
중증 호흡곤란을 겪고 있는 환자, 1
쇼크 상태에 있는 환자, 1
무의식 상태(GCS 3-8)에 있는 환자, 1
중증 호흡곤란을 겪고 있는 환자이며 생명이 위급한 상황입니다., 1
쇼크 상태로 생명이 위급한 환자입니다., 1
무의식(GCS 3-8) 상태인 환자로 심각한 의식 저하가 있습니다., 1
환자가 가슴 통증을 호소하며 심장마비가 의심되는 상태, 1
고열과 함께 의식을 잃은 환자, 1
갑작스러운 혈압 저하와 혼란을 보이는 환자, 1
환자가 심한 복통과 함께 출혈이 있는 상태, 1
호흡이 멈춘 상태로 즉각적인 응급 처치가 필요한 환자, 1
고위험 약물 중독 상태로 의식이 흐려진 환자, 1
갑작스러운 두통과 시력 손실을 호소하는 환자, 1
심한 탈수 증상을 보이며 의식 저하가 있는 환자, 1
구토와 함께 심한 복통을 호소하는 환자, 1
환자가 극심한 스트레스로 정신적으로 불안정한 상태, 1
호흡이 불규칙하고 청색증을 보이는 환자, 1
환자가 큰 사고로 인해 심한 출혈을 겪고 있는 상태, 1
흉부 외상을 입어 숨쉬기 어려운 상태의 환자, 1
기저질환이 악화되어 의식 저하가 발생한 환자, 1
급성 알레르기 반응으로 목이 부어 숨을 쉬지 못하는 환자, 1
심장 박동이 불규칙한 상태로 생명이 위급한 환자, 1
급성 뇌졸중 증상을 보이는 환자, 1
척추 손상으로 감각이 마비된 환자, 1
심한 화상을 입어 고통을 호소하는 환자, 1
환자가 갑작스러운 심한 가슴 통증과 함께 호흡 곤란을 겪고 있는 상태, 1
환자가 의식을 잃고 급격한 혈압 강하로 인한 쇼크 상태에 있는 환자, 1
심각한 외상으로 인해 다량의 출혈이 발생한 환자, 1
약물 과다 복용으로 의식이 혼미하고 호흡이 불규칙한 환자, 1
환자가 고열과 함께 급격히 의식 저하가 일어나며 혼란을 겪는 상태, 1
환자가 갑작스런 호흡 정지와 함께 심박정지가 발생한 상태, 1
심각한 화상으로 인해 호흡이 어려운 상태의 환자, 1
대량의 출혈로 의식이 저하되며 응급 처치가 필요한 환자, 1
흉부 통증과 함께 숨을 쉴 수 없는 상태, 1
외상으로 인해 골절과 함께 과다출혈이 발생한 환자, 1
혼란 상태로 자신의 이름이나 장소를 기억하지 못하는 환자, 1
심한 설사로 인해 탈수 증상이 있는 환자, 1
환자가 저체온증으로 심각한 상태, 1
고열로 인해 의식이 흐려진 상태의 환자, 1
급성 복부 통증으로 움직일 수 없는 환자, 1
과다 출혈로 인해 혈압이 급격히 낮아진 환자, 1
환자가 알 수 없는 이유로 갑작스러운 발작을 일으키는 상태, 1
흡입 중독으로 호흡곤란을 겪고 있는 환자, 1
환자가 추락사고로 인해 무의식 상태, 1
심한 두통과 구토로 인해 움직일 수 없는 상태, 1
산소 부족으로 의식이 점점 저하되는 환자, 1
기침과 함께 피를 토하는 환자, 1
자살 시도로 인해 생명이 위급한 상태의 환자, 1
뇌출혈로 인해 반신 마비 증상을 보이는 환자, 1
